Abraham,"(Abraham, voice echoing) Whenever I have",
,"a difficult decision to make, I come here.",
,,
,This place brings a clarity,
,to any decision.,
,,
Will,"""Is the Holocaust an aberration",
,"or a reflection of who we really are?""",
,,
,"(children laughing,",
,chattering in distance),
,,
Wolfgang,Why is it so loud where you are?,
,,
Will,It's Independence Day.,
,,
,(chuckles),
,,
Wolfgang,"What is best in life, huh?",
,,
Will,I don't understand.,
,,
Wolfgang,"No, you wouldn't.",
,,
,"(laughter, indistinct chattering)",
,,1
Jonas,(Jonas) You look lost.,
,,
Will,Why'd you do that?,
,,
Jonas,Do what?,
Will,Leave.,
,,
Jonas,I told you it was,
,"not a mobile service, Will.",
,,
,Connections are fragile things.,
,,
,(monitor beeps steadily),
,,
,It doesn't take them long to respond.,
,,
,Maybe you should find us,
,somewhere to talk.,
,,
,(door opens),
,,1
Lawyer,It is extraordinary.,
,,
,"I have never experienced anything like it,",
,not in my 20 years since passing the bar.,
,,
,Your father did everything,
,"he said he was going to do, and more...",
,,
,the court agreed to hear his testimony.,
,,
,"If the hearing goes well, I think I can",
,have you out of here in less than a week.,
,,
,You have to agree to the procedure here.,
,,
Sun,What will happen to Joong-Ki?,
,,
Lawyer,(lawyer sighs),
,,
,The court was lenient on you,
,because you cooperated.,
,,
,I suspect...,
,they will make an example of him.,
,,
,If I were your brother...,
,,
,I would be on the next plane,
,to somewhere far from Seoul.,
,,
Sun,I want to believe,
,that the past is done with us,
,,
,the moment we are done with it.,
,,1
Steiner,"(Steiner) What's up, Wolfman? Ooh...",
,,
Wolfgang,The fuck are you doing here?,
Steiner,"Down, boy. Down. (tsking)",
,,
,I heard dear Dad came to see you.,
,,
,He said you had yourselves,
,"a real nice... man-to-man,",
,,
,"but, knowing you, cousin, like I do,",
,,
,I figured you needed a little...,
,motivational... TED-type talk?,
,,
,"Now, first of all...",
,,
,I love Felix.,
,,
,It was really hard...,
,to watch what happened to him.,
,,
,Even though I know,
,that he would agree when I say,
,,
,that he did bring it upon himself.,
,,
,But... I am pulling,
,for his total recovery.,
,,
,"In fact, I have some...",
,"close friends that work here,",
,,
,and I asked them,
,to keep an eye on him for me.,
,,
,(chuckles) They did scare me a little,
,,
,with all the talk,
,about the things that can go wrong,
,,
,when someone like Felix,
,is trying to recover.,
,,
,"Like, they had one case recently",
,,
,"where someone got the wrong medicine,",
,and boom! (whispers) Dead.,
,,
,Would be some kinda... bad luck,
,"for old Felixer, after surviving all this.",
,,
Wolfgang,Can we just fast-forward,
,to the end of this shit?,
,,
,You get the diamonds--,
Steiner,(shouts) My diamonds!,
,,
Wolfgang,And you give Felix and me a pass.,
,,
Steiner,Well...,
,,
,"I'm a forward-looking person, Wolfie.",
,,
,You gotta believe that.,
,,
,I don't dwell on the past.,
,,
,"I get my rocks back,",
,and we all live happily ever after.,
,,1
Jonas,It's Independence Day?,
Will,Yeah.,
,,
Jonas,My parents were from India.,
,,
,"I was born there, but they moved to London",
,when I was a baby.,
,,
,"In my 20s, I moved to New York.",
,,
,I never fully grasped,
,where I owed my allegiance.,
,,
,Didn't know what I was supposed to sing.,
,,
,The Indian national anthem? America's?,
,,
,"""God Save the Queen""?",
,,
,I envy people their clear-cut allegiances.,
,,
Will,"Yeah, my dad's like that.",
,,
,"One beer, he's hammering the world",
,"into two different sides,",
,,
,"Bears or Packers, us or them.",
,,
Jonas,He's more right than he knows.,
,,
Will,"When you said that we're not like them,",
,did you mean we're not human?,
,,
Jonas,What is human?,
,,
,An ability to reason? To imagine?,
,To love or grieve?,
,,
,"If so, we are more human",
,than any human ever will be.,
,,1
Sanyam,What troubles you?,
,,
,It's all right.,
,,
,Say what's on your mind.,
,,
Kala,For some time now...,
,,
,I've been... confused about the wedding.,
,,
Sanyam,I know.,
,,
Kala,The police wanted to know,
