Sarah,Don't look at him.,
,,
,That's how he got me.,
,,
Nurse,"Good, you're awake.",
,,
Will,What happened? Where am I?,
Nurse,You were in an accident.,
,,
,Lucky to be alive. The other officers,
,who brought you in last night,
,,
,"said we should give you special attention,",
,said you're a hero.,
,,
,Bagged some terrorist.,
,,
Will,Jonas.,
,,
,I gotta go.,
,,
Nurse,You're not going anywhere.,
,,
,"We think you have a concussion,",
,,
,and the MRI is showing,
,some unusual brain activity.,
,,
Will,I'll bet.,
,,
Nurse,Hey... Wait!,
,,
,Hey! I need a doctor!,
,,1
Lito,Doctor...,
,This is my fault.,
,,
Doctor,You mustn't blame yourself.,
,,
,It was me.,
,,
,You had the perfect life,
,and I destroyed it. Yes.,
,,
Lito,Why do you torture me?,
Hernando,"Oh, come on,",
,,
,"you make me run the lines with you,",
,,
,and I don't get to watch Ms. Thing,
,ruin my scene?,
,,
Doctor,You're completely innocent.,
,,
Lito,It is true.,
,,
Hernando,Passion is never innocent.,
,,
,Mm...,
,,
Daniela,Aw!,
,,
,You guys make such an adorable couple.,
,,
Hernando,Morning.,
Daniela,Morning.,
,,
Lito,You want an espresso?,
,,
Daniela,"Ah! Yes, please.",
,,
Hernando,Go talk to her. Go talk to her.,
,,
,Go.,
,,
,You have to talk to her.,
,,1
Capheus,"When I was young,",
,I wanted to be a zebra.,
,,
Jela,Not a bad profession.,
,,
Capheus,I liked the idea of not having,
,"to look for food or shelter,",
,,
,or have responsibility.,
,,
,I wish I was a zebra.,
,,
Shiro,Is that so?,
Capheus,Yes.,
,,
,"If I was a zebra,",
,I would always have friends like them.,
,,
Shiro,You would make a very beautiful zebra.,
,,
Capheus,You know the best thing,
,about being a zebra?,
,,
Shiro,Tell me.,
,,
Capheus,"If we were hungry, we'd just eat grass",
,and we wouldn't be hungry anymore.,
,,
Shiro,Don't worry.,
,,
,"As long as we're together,",
,something good is going to happen.,
,,
,Soon we'll be stuffing our bellies,
,fuller than any zebra.,
,,
Jela,Though you must never have seen a zebra,
,after a lion has had its way with it.,
,,
,A lot more worse than this.,
,,
Capheus,Lion is definitely a downside.,
,Mm.,
,,
Jela,I'll tell you something,
,my father told me.,
,,
,"As long as you're determined,",
,"and you work hard,",
,,
,you can be anything you want to be.,
,,
,And if there's one person,
,"who can be a zebra in this world,",
,,
,"it's you, my friend.",
,,
Capheus,It is good advice.,
,,
,What did you tell your father,
,you wanted to be to receive such advice?,
,,
Jela,Son of a rich man.,
,,1
Lito,Daniela?,
Daniela,Oh.,
,,
Lito,I...,
Daniela,This place is incredible.,
,,
,"I mean, it's a cliché, but you gay guys",
,"really know how to decorate, huh?",
,,
Lito,I... I wanted,
,to talk to you about last night.,
,,
Daniela,"Oh, my God, so much fun.",
,,
Lito,I think we might have had...,
,a bit of a misunderstanding with...,
,,
Daniela,Did... Did I overstep?,
,,
,"Oh, I'm so sorry if I got carried away.",
,It's just that... I love gay porn.,
,,
Lito,"No, I'm not talking about",
,that part of last night.,
,,
,"I'm-I'm just feeling that,",
,"Daniela, this is a situation that, um...",
,,
,"Well, maybe it's not",
,"the situation that, um...",
,,
Hernando,"Uh, Lito isn't sure",
,we need a live-in beard.,
,,
Lito,"Yes, I mean...",
Daniela,Oh.,
,,
,I see. So as long as I didn't know,
,"the truth, you were fine with using me,",
,,
,"making me feel like you cared about me,",
,"but... now that I know the truth,",
,,
,"you'd prefer to dump me,",
,move on and use someone else?,
,,
Lito,"No, no, no, no.",
Hernando,Interesting.,
,,
,I've said the exact same thing to him.,
,,
,"Lito, I like this girl.",
,,
Daniela,"I thought you liked me, too.",
Lito,"Yes. Yes, I do, Daniela. I...",
,,
,This is our home.,
,,
,It's... our sacred space.,
,,
,"Uh... And you know, I'll try to...",
,,
,I'll try...,
,,
Hernando,Where he gets to be himself.,
Lito,Yes.,
,,
Daniela,I would love to get to know the real you.,
,,
Lito,That's exactly what I'm talking about.,
,"Um... You know, this...",
,,
,"Look, Daniela...",
Hernando,Whoa.,
,,
Lito,"You saying this, it makes me feel...",
,,
,"I mean, it's...",
,It's kind of uncomfortable.,
,,
Daniela,Lito.,
,,
,"Because you're being honest with me,",
,I... I want to be honest with you.,
,,
,"Um, there's another reason why",
,I didn't want to go home last night.,
,,
,There's this guy.,
,,
,"He knows my family and uh,",
,he's got it into his head,
,,
,that he was going to marry me.,
,,
,But he's not one of those people,
,"that you say ""no"" to, so I...",
,,
,"I did something, and I just...",
,,
,I need a place to crash,
,while things cool down with him.,
,,
Lito,What did you do?,
Hernando,Mm-hm.,
,,
Daniela,Fucked his best friend.,
,,1
Stiles,"Yo, hero.",
,You're the man of the hour.,
,,
Will,"Agent Stiles,",
,I was just looking for you...,
,,
Stiles,"I appreciate your work ethic,",
,but you shouldn't even be vertical.,
,,
Will,It's about Jonas.,
Stiles,"Yeah, don't worry. We got him.",
,,
Will,I want to talk to him.,
,,
Stiles,You want to what?,
Will,I just...,
,,
Stiles,You need to get back to the hospital,
,and get your head checked.,
,,
Will,"Five minutes, that's all I need.",
,,
Stiles,Even I wanted to give you access,
,"to this guy, and I don't,",
,,
,it's out of my hands.,
,,
,Homeland Security,
,sent over a car to pick him up,
,,
,and transport him over,
,to another facility for questioning.,
,,
Will,When?,
Stiles,"Well, that's need to know only.",
,,
,"He's on lockdown. Hey, you're a hero.",
,,
,"Enjoy your five minutes of fame,",
,and stop trying to make six out of it.,
,,
Nurse,"Oh, you shouldn't be out of bed.",
,,
,It's safer for you in the bed.,
