Nomi,Do you know that feeling,
,when you're sitting in a movie theater,
,,
,and everyone's laughing at something,
,,
,and you just don't get it?,
Neets,Yeah.,
,,
,Like all the time.,
,,
Nomi,This is where I'm at right now.,
,,
,"I'm sitting looking at the sunrise,",
,"the city,",
,,
,"and I'm wondering, how can something",
,still look so beautiful,
,,
,after we saw what we saw?,
,,
,It just doesn't seem right.,
,,
Neets,"No, it doesn't.",
,,1
Priya,"Are you all right, dear?",
,,
Kala,I need to use the ladies' room.,
Priya,Go on.,
,,
,Aah!,
,,
Kala,My God.,
,,
,What happened to him?,
,,
Wolfgang,It was... my fault.,
,,
,I wanted to prove something.,
,,
,I wanted to change something,
,that can't be changed.,
,,
Kala,What?,
,,
Wolfgang,The past.,
,,1
Lito,Hello?,
Daniela,It's me.,
,,
Lito,Dani?,
,,
,Daniela?,
,,
,Where are you?,
Daniela,I did it.,
,,
,I got my phone back.,
,Everything's fine. I fixed it.,
,,
Lito,How do you know?,
,,
,How do you know,
,everything's going to be fixed?,
,,
Daniela,"It just is, all right?",
,,
Lito,Why are you whispering?,
Hernando,Is she coming back?,
,,
Daniela,I just wanted you to know,
,you don't have to worry.,
,,
Lito,Are you coming back?,
Daniela,I better go.,
,,
Hernando,What did she say?,
,,
Lito,She said everything's going to be fine.,
,,
,She fixed it.,
,,
,She got the phone back.,
,,
Hernando,Is she still with him?,
,,
Lito,Huh?,
,I don't know.,
,,
,"But this is good news, isn't it?",
,,1
Capheus,"Hey. Hey, hey!",
,,
,Is Jela home?,
,,
Elena,Fuck you!,
,,
Capheus,"You are looking very well, Elena.",
,,
Elena,"Shithead, it's Motherfucker.",
,,
Jela,How do I tell them apart if you,
,keep calling all my friends motherfuckers?,
,,
,"Oh, it's this motherfucker.",
,,
Capheus,Here.,
,,
Jela,It's the nicest thing a motherfucker's,
,done for me today.,
,,
,To the ancestors.,
,,
Capheus,You and Elena are not getting along?,
,,
,You have money. What's wrong?,
,,
Jela,It's me. She hates me being home.,
,,
,I can't blame her.,
,,
,"I'm a stallion, Capheus.",
,,
,I go a little crazy locked up in a barn.,
,,
Capheus,Maybe it's time to go back to work.,
,,
Jela,Are you serious?,
,,
Capheus,I realized today I cannot,
,keep doing what I'm doing.,
,,
,I've not yet told Mr. Kabaka this.,
,,
,I'm not sure I know how,
,to tell Mr. Kabaka this.,
,,
,But I cannot go back there again.,
,,
,"The matatu is our work, eh?",
,,
,Real work. Clean work.,
,,
Jela,"You saved my life once again,",
,my friend!,
,,
,"Light of my life,",
,I'm going back to work!,
,,
Elena,Is that true?,
,Ah.,
,,
,"Thank you, Van Damme!",
,,
,Let's go inside.,
,,
Capheus,"Yeah, sure.",
Elena,"Come, come, come!",
,,1
Sun,"Ah... Oh, shit.",
,,
,You'll never have outside privilege,
,if you continue teaching me.,
,,
Soo-Jin,I rarely get to go out.,
,,
Sun,But today looks beautiful.,
,,
Soo-Jin,It does.,
,,
,They let us paint outside.,
,,
Sun,You like to paint?,
,,
Soo-Jin,I don't mind staying in.,
,,
,Helping you makes time go quickly.,
,,
Prisoner,Soo-Jin!,
,,
Sun,Why does she choose you?,
,,
Soo-Jin,I'm fast.,
,,
,I tried working more slowly once.,
,,
,That...,
,,
,That did not work out very well.,
,,
Prisoner 1,Bitch!,
,,
Prisoner Officer,What are you doing?,
,,
,That's not done.,
,,
,Pick that up!,
,,
,Get back to your seat!,
,,
Sun,"My mother did not teach me to sew,",
,but my father taught me business.,
,,
,"This is called ""second mover advantage.""",
,,
,The second mouse enjoys the cheese.,
,,
,"Today, you go outside. She sews.",
,,
Soo-Jin,Thank you.,
,,1
Kala,You've known him a long time.,
,,
,How did you meet?,
,,
Wolfgang,Detention.,
,,
Felix,"Welcome to my office, newbie.",
,Have a seat.,
,,
,I'm Felix.,
,,
Wolfgang,Wolfgang.,
,,
Felix,Wolfgang?,
,,
,Nobody's named Wolfgang.,
,,
,OK... Wolfie.,
,,
,What are you in for?,
Wolfgang,Fighting.,
,,
Felix,Cool.,
,,
Wolfgang,Where are you?,
,,
Kala,At the movies.,
,,
,With my family.,
,,
Wolfgang,Makes sense.,
,,
Kala,Why?,
,,
Wolfgang,Felix loved the movies.,
,,
,We cut school to watch films all the time.,
,,1
Conan,No one will remember,
,if we were good men or bad.,
,,
,All that matters is that,
