Source,Target,pair,Weight
Jonas,Angelica,Jonas Angelica,62
Jonas,Whispers,Jonas Whispers,26
Jonas,Will,Jonas Will,167
Jonas,Riley,Jonas Riley,6
Jonas,Sun,Jonas Sun,1
Jonas,Nomi,Jonas Nomi,34
Jonas,Neets,Jonas Neets,1
Jonas,Nurse,Jonas Nurse,1
Jonas,Metzger,Jonas Metzger,4
Jonas,Store guy,Jonas Store guy,6
Jonas,Referee,Jonas Referee,1
Jonas,Officer,Jonas Officer,2
Jonas,Yrsa,Jonas Yrsa,8
Angelica,Whispers,Angelica Whispers,36
Angelica,Sun,Angelica Sun,3
Angelica,Sarah,Angelica Sarah,1
Whispers,Will,Whispers Will,8
Whispers,Riley,Whispers Riley,2
Whispers,Capheus,Whispers Capheus,1
Whispers,Nomi,Whispers Nomi,5
Whispers,Neets,Whispers Neets,4
Whispers,Nurse,Whispers Nurse,2
Whispers,Sarah,Whispers Sarah,1
Whispers,Grace,Whispers Grace,3
Whispers,Guard,Whispers Guard,1
Sarah Patrell,Will,Sarah Patrell Will,3
Will,Jacks,Will Jacks,3
Will,Nocker,Will Nocker,3
Will,Riley,Will Riley,135
Will,Lito,Will Lito,8
Will,Sun,Will Sun,5
Will,Kala,Will Kala,14
Will,Wolfgang,Will Wolfgang,5
Will,Capheus,Will Capheus,5
Will,Nomi,Will Nomi,89
Will,Neets,Will Neets,9
Will,Sergei,Will Sergei,1
Will,Diego,Will Diego,195
Will,Cop,Will Cop,3
Will,Deshawn,Will Deshawn,77
Will,Nurse,Will Nurse,25
Will,Mike,Will Mike,31
Will,Janet,Will Janet,11
Will,Metzger,Will Metzger,2
Will,Stiles,Will Stiles,42
Will,Bar guy 2,Will Bar guy 2,3
Will,Store guy,Will Store guy,18
Will,Sarah,Will Sarah,1
Will,Guru Yash,Will Guru Yash,1
Will,Duncan,Will Duncan,22
Will,Gunnar,Will Gunnar,2
Will,Police captain,Will Police captain,10
Will,Don Carlos,Will Don Carlos,2
Will,Gang Member,Will Gang Member,1
Will,Grace,Will Grace,2
Will,Ludicrous Lincoln,Will Ludicrous Lincoln,6
Will,Gang Member 1,Will Gang Member 1,1
Will,Clete,Will Clete,3
Will,Rental Agent,Will Rental Agent,9
Will,Yrsa,Will Yrsa,7
Will,Police Officer,Will Police Officer,4
Will,Police Captain,Will Police Captain,5
Will,Worshipper 1,Will Worshipper 1,1
Will,Psychiatrist,Will Psychiatrist,1
Will,Guard,Will Guard,1
Will,Guard 1,Will Guard 1,1
Will,Guard 2,Will Guard 2,2
Will,Receptionist,Will Receptionist,8
Jacks,Nyx,Jacks Nyx,27
Jacks,Nocker,Jacks Nocker,6
Jacks,Riley,Jacks Riley,54
Nyx,Nocker,Nyx Nocker,3
Nyx,Riley,Nyx Riley,28
Nyx,Shugs,Nyx Shugs,3
Nocker,Riley,Nocker Riley,3
Riley,Sun,Riley Sun,35
Riley,Kala,Riley Kala,1
Riley,Capheus,Riley Capheus,24
Riley,Nomi,Riley Nomi,2
Riley,Neets,Riley Neets,1
Riley,Diego,Riley Diego,12
Riley,Bambie,Riley Bambie,15
Riley,Shugs,Riley Shugs,36
Riley,Gunnar,Riley Gunnar,27
Riley,Min-Jung,Riley Min-Jung,1
Riley,Yrsa,Riley Yrsa,49
Riley,Sven,Riley Sven,15
Riley,Magnus,Riley Magnus,18
Riley,Musician 1,Riley Musician 1,4
Riley,Musician 2,Riley Musician 2,2
Riley,Nurse 1,Riley Nurse 1,1
Padre,Nun,Padre Nun,6
Padre,Lito,Padre Lito,6
Padre,Director,Padre Director,3
Nun,Lito,Nun Lito,57
Lito,Director,Lito Director,95
Lito,Sun,Lito Sun,6
Lito,Wolfgang,Lito Wolfgang,14
Lito,Steiner,Lito Steiner,9
Lito,Nomi,Lito Nomi,26
Lito,Nurse,Lito Nurse,9
Lito,Reporter,Lito Reporter,15
Lito,Daniela,Lito Daniela,337
Lito,Hernando,Lito Hernando,267
Lito,Doctor,Lito Doctor,9
Lito,Joaquin,Lito Joaquin,63
Lito,Makeup artist,Lito Makeup artist,9
Lito,Driver,Lito Driver,2
Lito,Henchman,Lito Henchman,1
Lito,Interviewer,Lito Interviewer,8
Lito,Prison Doctor,Lito Prison Doctor,5
Lito,Fan,Lito Fan,4
Lito,Actress,Lito Actress,1
Lito,Barista,Lito Barista,21
Lito,Mailbox voice,Lito Mailbox voice,2
Director,Joaquin,Director Joaquin,9
Secretary,Sun,Secretary Sun,21
Secretary,Sarah,Secretary Sarah,3
Sun,Yuen,Sun Yuen,21
Sun,Joong-Ki,Sun Joong-Ki,27
Sun,Kala,Sun Kala,2
Sun,Capheus,Sun Capheus,29
Sun,Nomi,Sun Nomi,5
Sun,Reporter,Sun Reporter,2
Sun,Mi-Cha,Sun Mi-Cha,9
Sun,Sensei,Sun Sensei,4
Sun,Thug,Sun Thug,2
Sun,Githu,Sun Githu,7
Sun,Kang-Dae,Sun Kang-Dae,18
Sun,Bouncer,Sun Bouncer,8
Sun,Interviewer,Sun Interviewer,1
Sun,Prison Doctor,Sun Prison Doctor,5
Sun,Prison Officer,Sun Prison Officer,4
Sun,Prisoner,Sun Prisoner,1
Sun,Soo-Jin,Sun Soo-Jin,16
Sun,Min-Jung,Sun Min-Jung,2
Sun,Prisoner 1,Sun Prisoner 1,7
Sun,Prisoner 2,Sun Prisoner 2,1
Sun,Prisoner Officer,Sun Prisoner Officer,1
