Source,Target,pair,Weight
Lito,Daniela,Lito Daniela,2.527629901
Nomi,Neets,Nomi Neets,2.526339277
Lito,Hernando,Lito Hernando,2.426511261
Will,Diego,Will Diego,2.290034611
Jonas,Will,Jonas Will,2.222716471
Capheus,Jela,Capheus Jela,2.181843588
Felix,Wolfgang,Felix Wolfgang,2.155336037
Will,Riley,Will Riley,2.130333768
Lito,Director,Lito Director,1.977723605
Will,Nomi,Will Nomi,1.949390007
Daniela,Hernando,Daniela Hernando,1.924279286
Will,Deshawn,Will Deshawn,1.886490725
Kala,Wolfgang,Kala Wolfgang,1.875061263
Kala,Rajan,Kala Rajan,1.806179974
Bambie,Shugs,Bambie Shugs,1.806179974
Lito,Joaquin,Lito Joaquin,1.799340549
Jonas,Angelica,Jonas Angelica,1.792391689
Kala,Sanyam,Kala Sanyam,1.792391689
Jela,Mr. Fuck Off,Jela Mr. Fuck Off,1.77815125
Nun,Lito,Nun Lito,1.755874856
Jacks,Riley,Jacks Riley,1.73239376
Shiro,Capheus,Shiro Capheus,1.72427587
Riley,Yrsa,Riley Yrsa,1.69019608
Capheus,Githu,Capheus Githu,1.681241237
Nomi,Nurse,Nomi Nurse,1.672097858
Will,Stiles,Will Stiles,1.62324929
Nomi,Janet,Nomi Janet,1.612783857
Nomi,Metzger,Nomi Metzger,1.591064607
Angelica,Whispers,Angelica Whispers,1.556302501
Riley,Shugs,Riley Shugs,1.556302501
Riley,Sun,Riley Sun,1.544068044
Jonas,Nomi,Jonas Nomi,1.531478917
Capheus,Silas,Capheus Silas,1.505149978
Will,Mike,Will Mike,1.491361694
Wolfgang,Anja,Wolfgang Anja,1.477121255
Sun,Capheus,Sun Capheus,1.462397998
Nyx,Riley,Nyx Riley,1.447158031
Jacks,Nyx,Jacks Nyx,1.431363764
Riley,Gunnar,Riley Gunnar,1.431363764
Sun,Joong-Ki,Sun Joong-Ki,1.431363764
Jela,Farmer,Jela Farmer,1.431363764
Jonas,Whispers,Jonas Whispers,1.414973348
Lito,Nomi,Lito Nomi,1.414973348
Kala,Capheus,Kala Capheus,1.414973348
Will,Nurse,Will Nurse,1.397940009
Riley,Capheus,Riley Capheus,1.380211242
Will,Duncan,Will Duncan,1.342422681
Nomi,Bug,Nomi Bug,1.342422681
Daniela,Joaquin,Daniela Joaquin,1.342422681
Lito,Barista,Lito Barista,1.322219295
Secretary,Sun,Secretary Sun,1.322219295
Sun,Yuen,Sun Yuen,1.322219295
Kala,Guru Yash,Kala Guru Yash,1.322219295
Teagan,Janet,Teagan Janet,1.322219295
Fighter,Referee,Fighter Referee,1.322219295
Joong-Ki,Kang-Dae,Joong-Ki Kang-Dae,1.301029996
Kala,Daya,Kala Daya,1.301029996
Will,Store guy,Will Store guy,1.255272505
Riley,Magnus,Riley Magnus,1.255272505
Sun,Kang-Dae,Sun Kang-Dae,1.255272505
Felix,Abraham,Felix Abraham,1.255272505
Devi,Presenter,Devi Presenter,1.255272505
Planner 1,Planner 2,Planner 1 Planner 2,1.255272505
Capheus,Amondi,Capheus Amondi,1.230448921
Janet,Metzger,Janet Metzger,1.230448921
Sun,Soo-Jin,Sun Soo-Jin,1.204119983
Kala,Manendra,Kala Manendra,1.204119983
Riley,Bambie,Riley Bambie,1.176091259
Riley,Sven,Riley Sven,1.176091259
Lito,Reporter,Lito Reporter,1.176091259
Sanyam,Rajan,Sanyam Rajan,1.176091259
Sanyam,Manendra,Sanyam Manendra,1.176091259
Wolfgang,Steiner,Wolfgang Steiner,1.176091259
Will,Kala,Will Kala,1.146128036
Lito,Wolfgang,Lito Wolfgang,1.146128036
Wolfgang,Abraham,Wolfgang Abraham,1.146128036
Neets,Lola,Neets Lola,1.146128036
Silas,Amondi,Silas Amondi,1.146128036
Riley,Diego,Riley Diego,1.079181246
Nomi,Sam,Nomi Sam,1.079181246
Neets,Purple Fairy,Neets Purple Fairy,1.079181246
Neets,Sam,Neets Sam,1.079181246
Neets,Metzger,Neets Metzger,1.079181246
Jela,Widow,Jela Widow,1.079181246
Bar guy,Bar guy 2,Bar guy Bar guy 2,1.079181246
Thug,Githu,Thug Githu,1.079181246
Will,Janet,Will Janet,1.041392685
Kala,Priya,Kala Priya,1.041392685
Wolfgang,Sergei,Wolfgang Sergei,1.041392685
Will,Police captain,Will Police captain,1
Sanyam,Priya,Sanyam Priya,1
Rajan,Planner 1,Rajan Planner 1,1
Manendra,Planner 2,Manendra Planner 2,1
Will,Neets,Will Neets,0.954242509
Will,Rental Agent,Will Rental Agent,0.954242509
Lito,Steiner,Lito Steiner,0.954242509
Lito,Nurse,Lito Nurse,0.954242509
Lito,Doctor,Lito Doctor,0.954242509
Lito,Makeup artist,Lito Makeup artist,0.954242509
Director,Joaquin,Director Joaquin,0.954242509
Sun,Mi-Cha,Sun Mi-Cha,0.954242509
Felix,Steiner,Felix Steiner,0.954242509
Nomi,Purple Fairy,Nomi Purple Fairy,0.954242509
Nomi,Patron,Nomi Patron,0.954242509
Nomi,Grace,Nomi Grace,0.954242509
Neets,Grace,Neets Grace,0.954242509
Green Fairy,Purple Fairy,Green Fairy Purple Fairy,0.954242509
Diego,Deshawn,Diego Deshawn,0.954242509
Reporter,Daniela,Reporter Daniela,0.954242509
Jonas,Yrsa,Jonas Yrsa,0.903089987
Whispers,Will,Whispers Will,0.903089987
Will,Lito,Will Lito,0.903089987
Will,Receptionist,Will Receptionist,0.903089987
Lito,Interviewer,Lito Interviewer,0.903089987
Sun,Bouncer,Sun Bouncer,0.903089987
Will,Yrsa,Will Yrsa,0.84509804
Sun,Githu,Sun Githu,0.84509804
Sun,Prisoner 1,Sun Prisoner 1,0.84509804
Jonas,Riley,Jonas Riley,0.77815125
Jonas,Store guy,Jonas Store guy,0.77815125
Will,Ludicrous Lincoln,Will Ludicrous Lincoln,0.77815125
Jacks,Nocker,Jacks Nocker,0.77815125
Padre,Nun,Padre Nun,0.77815125
Padre,Lito,Padre Lito,0.77815125
Lito,Sun,Lito Sun,0.77815125
Kala,Devi,Kala Devi,0.77815125
Kala,Presenter,Kala Presenter,0.77815125
Kala,Aunty Ina,Kala Aunty Ina,0.77815125
Felix,Teacher,Felix Teacher,0.77815125
Felix,Saleswoman,Felix Saleswoman,0.77815125
Felix,Sommelier,Felix Sommelier,0.77815125
Wolfgang,Doctor,Wolfgang Doctor,0.77815125
Capheus,Widow,Capheus Widow,0.77815125
Capheus,Mr. Fuck Off,Capheus Mr. Fuck Off,0.77815125
Capheus,Thug,Capheus Thug,0.77815125
Capheus,Officer,Capheus Officer,0.77815125
Nomi,Green Fairy,Nomi Green Fairy,0.77815125
Nomi,Police,Nomi Police,0.77815125
Neets,Agent,Neets Agent,0.77815125
Sergei's Wife,Sergei,Sergei's Wife Sergei,0.77815125
Jela,Officer,Jela Officer,0.77815125
Widow,Thug,Widow Thug,0.77815125
Widow,Githu,Widow Githu,0.77815125
Sam,Dyke 1,Sam Dyke 1,0.77815125
Diego,Stiles,Diego Stiles,0.77815125
Deshawn,Mike,Deshawn Mike,0.77815125
Nurse,Janet,Nurse Janet,0.77815125
Mike,Bar guy,Mike Bar guy,0.77815125
Rajan,Crowd,Rajan Crowd,0.77815125
Rajan,Detective 1,Rajan Detective 1,0.77815125
Manendra,Planner 1,Manendra Planner 1,0.77815125
Githu,Silas,Githu Silas,0.77815125
Wedding Planner 1,Wedding Planner 2,Wedding Planner 1 Wedding Planner 2,0.77815125
Whispers,Nomi,Whispers Nomi,0.698970004
Will,Sun,Will Sun,0.698970004
Will,Wolfgang,Will Wolfgang,0.698970004
Will,Capheus,Will Capheus,0.698970004
Will,Police Captain,Will Police Captain,0.698970004
Lito,Prison Doctor,Lito Prison Doctor,0.698970004
Sun,Nomi,Sun Nomi,0.698970004
Sun,Prison Doctor,Sun Prison Doctor,0.698970004
Joong-Ki,Prison Officer,Joong-Ki Prison Officer,0.698970004
Kala,Tula,Kala Tula,0.698970004
Kala,Sahana,Kala Sahana,0.698970004
Nurse,Metzger,Nurse Metzger,0.698970004
Rajan,Detective 2,Rajan Detective 2,0.698970004
Jonas,Metzger,Jonas Metzger,0.602059991
Whispers,Neets,Whispers Neets,0.602059991
Will,Police Officer,Will Police Officer,0.602059991
Riley,Musician 1,Riley Musician 1,0.602059991
Lito,Fan,Lito Fan,0.602059991
Sun,Sensei,Sun Sensei,0.602059991
Sun,Prison Officer,Sun Prison Officer,0.602059991
Kala,Detective 1,Kala Detective 1,0.602059991
Kala,Detective 2,Kala Detective 2,0.602059991
Kala,Worshipper 1,Kala Worshipper 1,0.602059991
Sanyam,Planner 1,Sanyam Planner 1,0.602059991
Steiner,Henchman 1,Steiner Henchman 1,0.602059991
Nomi,Diego,Nomi Diego,0.602059991
Neets,Officer,Neets Officer,0.602059991
Rajan,Planner 2,Rajan Planner 2,0.602059991
Priya,Aunty Ina,Priya Aunty Ina,0.602059991
Hernando,Joaquin,Hernando Joaquin,0.602059991
Angelica,Sun,Angelica Sun,0.477121255
Whispers,Grace,Whispers Grace,0.477121255
Sarah Patrell,Will,Sarah Patrell Will,0.477121255
Will,Jacks,Will Jacks,0.477121255
Will,Nocker,Will Nocker,0.477121255
Will,Cop,Will Cop,0.477121255
Will,Bar guy 2,Will Bar guy 2,0.477121255
Will,Clete,Will Clete,0.477121255
Nyx,Nocker,Nyx Nocker,0.477121255
Nyx,Shugs,Nyx Shugs,0.477121255
Nocker,Riley,Nocker Riley,0.477121255
Padre,Director,Padre Director,0.477121255
Secretary,Sarah,Secretary Sarah,0.477121255
Yuen,Joong-Ki,Yuen Joong-Ki,0.477121255
Kala,Worshipper 2,Kala Worshipper 2,0.477121255
Priest,Felix,Priest Felix,0.477121255
Wolfgang,Sergei's Wife,Wolfgang Sergei's Wife,0.477121255
Steiner,Henchman 2,Steiner Henchman 2,0.477121255
Shiro,Jela,Shiro Jela,0.477121255
Shiro,Grandpa Capheus,Shiro Grandpa Capheus,0.477121255
Capheus,Nomi,Capheus Nomi,0.477121255
Capheus,Batvan Driver,Capheus Batvan Driver,0.477121255
Nomi,Disney,Nomi Disney,0.477121255
Nomi,Police Officer,Nomi Police Officer,0.477121255
Nomi,Punk 1,Nomi Punk 1,0.477121255
Neets,Green Fairy,Neets Green Fairy,0.477121255
Neets,Teagan,Neets Teagan,0.477121255
Neets,Bug,Neets Bug,0.477121255
Jela,Batvan Driver,Jela Batvan Driver,0.477121255
Jela,Amondi,Jela Amondi,0.477121255
Patron,Patron 2,Patron Patron 2,0.477121255
Patron,Patron 3,Patron Patron 3,0.477121255
Patron,Narrator,Patron Narrator,0.477121255
Patron 2,Patron 3,Patron 2 Patron 3,0.477121255
Diego,Cop,Diego Cop,0.477121255
Diego,Ludicrous Lincoln,Diego Ludicrous Lincoln,0.477121255
Deshawn,Nurse,Deshawn Nurse,0.477121255
Deshawn,Ludicrous Lincoln,Deshawn Ludicrous Lincoln,0.477121255
Nurse,Stiles,Nurse Stiles,0.477121255
Nurse,Sarah,Nurse Sarah,0.477121255
Nurse,Nurse 2,Nurse Nurse 2,0.477121255
Nurse,Nurse 1,Nurse Nurse 1,0.477121255
Mike,Bar guy 2,Mike Bar guy 2,0.477121255
Metzger,Nurse 2,Metzger Nurse 2,0.477121255
Rajan,Manendra,Rajan Manendra,0.477121255
Rajan,Priya,Rajan Priya,0.477121255
Hernando,Doctor,Hernando Doctor,0.477121255
Detective,Stiles,Detective Stiles,0.477121255
Sarah,Mi-Cha,Sarah Mi-Cha,0.477121255
Thug,Announcer,Thug Announcer,0.477121255
Announcer,Fighter,Announcer Fighter,0.477121255
Lawyer 1,Lawyer 2,Lawyer 1 Lawyer 2,0.477121255
Prison Officer,Soo-Jin,Prison Officer Soo-Jin,0.477121255
Detective 1,Detective 2,Detective 1 Detective 2,0.477121255
Jonas,Officer,Jonas Officer,0.301029996
Whispers,Riley,Whispers Riley,0.301029996
Whispers,Nurse,Whispers Nurse,0.301029996
Will,Metzger,Will Metzger,0.301029996
Will,Gunnar,Will Gunnar,0.301029996
Will,Don Carlos,Will Don Carlos,0.301029996
Will,Grace,Will Grace,0.301029996
Will,Guard 2,Will Guard 2,0.301029996
Riley,Nomi,Riley Nomi,0.301029996
Riley,Musician 2,Riley Musician 2,0.301029996
Lito,Driver,Lito Driver,0.301029996
Lito,Mailbox voice,Lito Mailbox voice,0.301029996
Sun,Kala,Sun Kala,0.301029996
Sun,Reporter,Sun Reporter,0.301029996
Sun,Thug,Sun Thug,0.301029996
Sun,Min-Jung,Sun Min-Jung,0.301029996
Sun,Lawyer,Sun Lawyer,0.301029996
Sun,Thug 1,Sun Thug 1,0.301029996
Felix,Daya,Felix Daya,0.301029996
Felix,Karaoke girl,Felix Karaoke girl,0.301029996
Felix,Woman,Felix Woman,0.301029996
Felix,Conan,Felix Conan,0.301029996
Felix,Young Tough 1,Felix Young Tough 1,0.301029996
Wolfgang,Sommelier,Wolfgang Sommelier,0.301029996
Wolfgang,Karaoke girl,Wolfgang Karaoke girl,0.301029996
Wolfgang,Young Tough 1,Wolfgang Young Tough 1,0.301029996
Shiro,Githu,Shiro Githu,0.301029996
Shiro,Grandma Capheus,Shiro Grandma Capheus,0.301029996
Capheus,Passenger,Capheus Passenger,0.301029996
Capheus,Elena,Capheus Elena,0.301029996
Nomi,Rental Agent,Nomi Rental Agent,0.301029996
Nomi,Agent,Nomi Agent,0.301029996
Nomi,Receptionist,Nomi Receptionist,0.301029996
Neets,Nurse,Neets Nurse,0.301029996
Neets,Disney,Neets Disney,0.301029996
Jela,Passenger,Jela Passenger,0.301029996
Jela,Elena,Jela Elena,0.301029996
Gunnar,Musician 1,Gunnar Musician 1,0.301029996
Woman 2,Woman 3,Woman 2 Woman 3,0.301029996
Lawyer 1,Judge,Lawyer 1 Judge,0.301029996
Prisoner,Soo-Jin,Prisoner Soo-Jin,0.301029996
Prisoner,Min-Jung,Prisoner Min-Jung,0.301029996
Soo-Jin,Min-Jung,Soo-Jin Min-Jung,0.301029996
Soo-Jin,Prisoner 1,Soo-Jin Prisoner 1,0.301029996
Grandpa Capheus,Grandma Capheus,Grandpa Capheus Grandma Capheus,0.301029996
Grandma Capheus,Elder,Grandma Capheus Elder,0.301029996
Worshipper 1,Worshipper 2,Worshipper 1 Worshipper 2,0.301029996
