id,label,timeset,modularity_class,pageranks,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Lito,Lito,,0,0.036867346,3,18,21,3.437116093,21.19191851,24.62903461,0.044861885,5,0.426294821,0.508722741,273
Daniela,Daniela,,0,0.007079694,2,2,4,3.48187241,3.266701967,6.748574377,0.129323974,2,0.75,0.833333333,16
Nomi,Nomi,,1,0.037211655,7,18,25,7.071933531,17.1794333,24.25136683,0.505839779,4,0.6,0.726851852,424.15
Neets,Neets,,1,0.022313869,3,12,15,4.082641777,8.751549281,12.83419106,0.314144206,3,0.703703704,0.807017544,54.28333333
Hernando,Hernando,,0,0.007123512,2,2,4,4.350790547,1.079181246,5.429971793,0.110128431,1,1,1,2
Will,Will,,2,0.054991118,3,33,36,3.602927713,31.18062656,34.78355427,0.027747901,5,0.535864979,0.611154856,314.45
Diego,Diego,,2,0.010621414,3,4,7,3.971275848,2.686636269,6.657912117,0.400717077,4,0.424242424,0.541666667,85
Jonas,Jonas,,1,0.012857583,0,9,9,0,10.3240429,10.3240429,0,6,0.382352941,0.429102564,0
Capheus,Capheus,,7,0.025171873,5,12,17,6.680828462,11.26759123,17.94841969,0.346591515,5,0.439655172,0.545424837,246.5
Jela,Jela,,7,0.01614865,2,8,10,2.658964843,6.623150012,9.282114855,0.187182187,5,0.518518519,0.722619048,20.5
Felix,Felix,,4,0.025951513,1,11,12,0.477121255,8.204454781,8.681576036,0.004115396,2,0.739130435,0.823529412,17
Wolfgang,Wolfgang,,4,0.02409688,4,9,13,5.87549534,6.999095728,12.87459107,0.165960808,2,0.846153846,0.909090909,151.6666667
Riley,Riley,,6,0.027576058,6,12,18,6.86618806,13.49289788,20.35908594,0.155053864,5,0.391304348,0.463117284,381.25
Director,Director,,0,0.005705752,2,1,3,2.45484486,0.954242509,3.409087369,0.045054739,1,1,1,0.5
Deshawn,Deshawn,,2,0.007744115,2,3,5,2.840733234,1.73239376,4.573126994,0.221633462,3,0.545454545,0.611111111,49
Kala,Kala,,5,0.032257646,2,17,19,1.447158032,17.77306322,19.22022125,0.152111163,6,0.38317757,0.497154472,329.3333333
Rajan,Rajan,,5,0.014644934,2,7,9,2.982271233,4.811575005,7.793846238,0.126671023,2,0.888888889,0.9375,30.83333333
Bambie,Bambie,,6,0.003836185,1,1,2,1.176091259,1.806179974,2.982271233,0.106089979,1,1,1,0
Shugs,Shugs,,6,0.005342558,3,0,3,3.83960373,0,3.83960373,0.185101617,0,0,0,0
Joaquin,Joaquin,,0,0.007147553,4,0,4,4.69806573,0,4.69806573,0.207074276,0,0,0,0
Angelica,Angelica,,1,0.0048324,1,2,3,1.792391689,2.033423756,3.825815445,0.004115396,5,0.327411168,0.352842377,5.833333333
Sanyam,Sanyam,,5,0.008096851,1,4,5,1.792391689,3.954242509,5.746634198,0.084274977,2,0.642857143,0.722222222,5
Mr. Fuck Off,Mr. Fuck Off,,7,0.003651577,2,0,2,2.5563025,0,2.5563025,0.27110028,0,0,0,0
Nun,Nun,,0,0.004186802,1,1,2,0.77815125,1.755874856,2.534026106,0.004115396,6,0.300835655,0.329012346,0
Jacks,Jacks,,6,0.006362626,1,3,4,0.477121255,3.941908774,4.419030029,0.030879929,6,0.286821705,0.322672673,5
Shiro,Shiro,,7,0.008898164,0,5,5,0,3.280578372,3.280578372,0,6,0.325443787,0.395757576,0
Yrsa,Yrsa,,6,0.004835209,3,0,3,3.438384107,0,3.438384107,0.141085305,0,0,0,0
Githu,Githu,,3,0.009457982,5,1,6,4.684701769,0.77815125,5.462853019,0.614919324,2,0.666666667,0.75,8.5
Nurse,Nurse,,1,0.017932575,6,6,12,5.103461623,3.385606274,8.489067897,0.607065969,2,0.875,0.928571429,79.36666667
Stiles,Stiles,,2,0.007012584,4,0,4,3.35564305,0,3.35564305,0.504726558,0,0,0,0
Janet,Janet,,1,0.00760339,4,1,5,4.754547087,1.230448921,5.984996008,0.639106923,2,0.666666667,0.75,2
Metzger,Metzger,,1,0.010121019,6,1,7,5.502754765,0.477121255,5.97987602,1,1,1,1,9.5
Whispers,Whispers,,1,0.011289158,2,6,8,2.971275849,3.283301229,6.254577078,0.013981955,6,0.382089552,0.421484375,65.96666667
Sun,Sun,,3,0.039481406,5,19,24,4.820529848,14.63114209,19.45167194,0.191891206,5,0.445945946,0.530976431,565.3666667
Silas,Silas,,7,0.005059765,2,1,3,2.283301228,1.146128036,3.429429264,0.447219438,1,1,1,3
Mike,Mike,,2,0.006918525,2,2,4,2.269512944,1.255272505,3.524785449,0.131606611,1,1,1,35
Anja,Anja,,4,0.00259555,1,0,1,1.477121255,0,1.477121255,0.099000719,0,0,0,0
Nyx,Nyx,,6,0.006540132,1,3,4,1.431363764,2.401400541,3.832764305,0.025537631,6,0.285714286,0.321060606,0.5
Gunnar,Gunnar,,6,0.005238763,2,1,3,1.73239376,0.301029996,2.033423756,0.136969908,1,1,1,1
Joong-Ki,Joong-Ki,,3,0.007372747,2,2,4,1.908485019,2,3.908485019,0.184083976,3,0.5,0.633333333,5
Farmer,Farmer,,7,0.002392986,1,0,1,1.431363764,0,1.431363764,0.088033489,0,0,0,0
Duncan,Duncan,,2,0.002318807,1,0,1,1.342422681,0,1.342422681,0.030879929,0,0,0,0
Bug,Bug,,1,0.003549942,2,0,2,1.819543936,0,1.819543936,0.415002908,0,0,0,0
Barista,Barista,,0,0.002512578,1,0,1,1.322219295,0,1.322219295,0.040939343,0,0,0,0
Secretary,Secretary,,3,0.00404084,0,2,2,0,1.79934055,1.79934055,0,6,0.313479624,0.346333333,0
